USER_ID,Predictions
1053,Democrat
1056,Republican
1057,Democrat
1062,Democrat
1067,Republican
1071,Republican
1073,Republican
1076,Republican
1079,Republican
1081,Democrat
1083,Republican
1084,Democrat
1085,Democrat
1087,Democrat
1092,Republican
1114,Republican
1117,Republican
1124,Republican
1129,Democrat
1133,Democrat
1148,Republican
1151,Democrat
1154,Democrat
1157,Republican
1158,Democrat
1162,Republican
1166,Republican
1167,Republican
1171,Democrat
1177,Republican
1179,Republican
1191,Democrat
1199,Democrat
1200,Democrat
1206,Democrat
1208,Democrat
1209,Democrat
1215,Republican
1218,Democrat
1219,Democrat
1221,Republican
1222,Democrat
1234,Democrat
1246,Democrat
1256,Republican
1259,Republican
1262,Republican
1266,Democrat
1284,Republican
1288,Democrat
1298,Republican
1301,Republican
1312,Democrat
1315,Democrat
1316,Democrat
1322,Democrat
1328,Republican
1334,Republican
1342,Republican
1344,Republican
1362,Democrat
1364,Republican
1367,Republican
1371,Republican
1374,Democrat
1381,Republican
1383,Democrat
1402,Democrat
1409,Democrat
1416,Democrat
1421,Republican
1427,Democrat
1429,Democrat
1431,Democrat
1440,Democrat
1442,Republican
1446,Democrat
1451,Republican
1452,Republican
1464,Democrat
1472,Republican
1473,Democrat
1474,Republican
1484,Republican
1490,Republican
1497,Democrat
1499,Democrat
1503,Republican
1511,Democrat
1516,Republican
1521,Democrat
1522,Democrat
1523,Republican
1529,Republican
1536,Democrat
1540,Republican
1545,Democrat
1548,Democrat
1552,Republican
1557,Republican
1558,Democrat
1559,Republican
1565,Republican
1576,Republican
1581,Democrat
1592,Republican
1594,Republican
1600,Republican
1604,Democrat
1613,Republican
1615,Democrat
1617,Democrat
1619,Democrat
1620,Democrat
1624,Democrat
1629,Democrat
1630,Republican
1637,Republican
1643,Democrat
1645,Democrat
1649,Democrat
1654,Republican
1668,Republican
1680,Republican
1681,Democrat
1683,Republican
1684,Republican
1688,Republican
1689,Democrat
1691,Democrat
1692,Democrat
1693,Democrat
1696,Democrat
1702,Democrat
1706,Republican
1708,Democrat
1719,Republican
1723,Democrat
1731,Democrat
1734,Democrat
1736,Republican
1748,Republican
1750,Republican
1751,Democrat
1757,Democrat
1763,Democrat
1766,Republican
1767,Democrat
1776,Democrat
1782,Democrat
1790,Democrat
1812,Democrat
1816,Republican
1819,Republican
1824,Republican
1831,Republican
1841,Democrat
1857,Democrat
1858,Democrat
1860,Democrat
1873,Democrat
1876,Republican
1878,Republican
1882,Republican
1884,Democrat
1890,Democrat
1905,Democrat
1906,Republican
1913,Republican
1918,Republican
1921,Democrat
1925,Democrat
1936,Democrat
1940,Republican
1941,Republican
1947,Republican
1948,Democrat
1959,Republican
1963,Democrat
1966,Republican
1968,Democrat
1975,Republican
1978,Republican
1982,Republican
1995,Republican
1999,Democrat
2002,Republican
2014,Democrat
2028,Democrat
2031,Republican
2034,Democrat
2036,Democrat
2037,Democrat
2040,Republican
2041,Republican
2042,Republican
2043,Republican
2056,Democrat
2058,Democrat
2064,Democrat
2069,Democrat
2080,Democrat
2083,Democrat
2087,Republican
2093,Democrat
2100,Republican
2109,Republican
2113,Democrat
2116,Democrat
2120,Republican
2124,Republican
2127,Democrat
2133,Democrat
2135,Democrat
2137,Democrat
2141,Democrat
2149,Republican
2160,Republican
2162,Republican
2163,Republican
2165,Democrat
2166,Democrat
2178,Democrat
2180,Republican
2185,Republican
2187,Democrat
2197,Democrat
2206,Democrat
2216,Republican
2220,Democrat
2224,Democrat
2234,Republican
2235,Democrat
2241,Democrat
2248,Republican
2259,Democrat
2262,Democrat
2274,Democrat
2275,Democrat
2298,Democrat
2304,Republican
2307,Democrat
2309,Democrat
2312,Democrat
2324,Republican
2335,Republican
2336,Democrat
2338,Democrat
2348,Republican
2350,Democrat
2353,Democrat
2356,Republican
2362,Republican
2374,Republican
2377,Democrat
2378,Republican
2379,Democrat
2386,Republican
2390,Republican
2398,Democrat
2402,Republican
2405,Republican
2406,Democrat
2409,Republican
2410,Republican
2413,Democrat
2416,Republican
2419,Democrat
2427,Democrat
2430,Republican
2434,Democrat
2435,Democrat
2452,Republican
2454,Republican
2456,Democrat
2458,Democrat
2462,Democrat
2470,Democrat
2472,Republican
2473,Democrat
2487,Republican
2488,Democrat
2493,Republican
2496,Democrat
2499,Democrat
2500,Democrat
2501,Republican
2502,Democrat
2504,Democrat
2505,Democrat
2510,Republican
2514,Democrat
2519,Democrat
2531,Republican
2535,Republican
2537,Republican
2539,Republican
2540,Democrat
2547,Democrat
2548,Democrat
2551,Democrat
2552,Republican
2555,Republican
2564,Democrat
2568,Democrat
2569,Republican
2572,Republican
2584,Democrat
2585,Republican
2596,Democrat
2599,Republican
2600,Democrat
2602,Republican
2607,Democrat
2616,Democrat
2617,Republican
2628,Republican
2630,Democrat
2633,Democrat
2636,Democrat
2642,Democrat
2648,Republican
2651,Republican
2653,Republican
2656,Democrat
2669,Democrat
2679,Democrat
2681,Democrat
2682,Democrat
2683,Democrat
2684,Republican
2685,Democrat
2695,Republican
2701,Democrat
2702,Democrat
2709,Democrat
2713,Republican
2715,Democrat
2728,Republican
2733,Republican
2738,Democrat
2746,Democrat
2748,Republican
2752,Republican
2753,Republican
2758,Democrat
2772,Democrat
2800,Democrat
2801,Democrat
2802,Democrat
2805,Democrat
2814,Democrat
2816,Republican
2827,Democrat
2831,Republican
2832,Democrat
2845,Democrat
2849,Democrat
2856,Democrat
2861,Democrat
2862,Republican
2869,Democrat
2880,Republican
2881,Democrat
2884,Democrat
2887,Democrat
2895,Republican
2897,Democrat
2898,Democrat
2903,Republican
2904,Republican
2906,Republican
2911,Democrat
2913,Democrat
2916,Republican
2922,Republican
2930,Democrat
2933,Democrat
2938,Republican
2944,Democrat
2945,Republican
2948,Democrat
2950,Republican
2958,Democrat
2965,Republican
2966,Republican
2970,Democrat
2973,Democrat
2978,Democrat
2981,Republican
2982,Republican
2983,Democrat
2985,Republican
2989,Republican
2990,Democrat
3003,Republican
3020,Republican
3022,Republican
3035,Republican
3039,Republican
3042,Republican
3045,Democrat
3049,Democrat
3058,Democrat
3061,Republican
3064,Republican
3073,Democrat
3074,Republican
3077,Republican
3091,Democrat
3096,Republican
3100,Republican
3101,Democrat
3107,Republican
3124,Democrat
3129,Republican
3138,Republican
3139,Democrat
3161,Republican
3164,Democrat
3166,Democrat
3170,Republican
3172,Democrat
3174,Democrat
3183,Democrat
3192,Republican
3197,Democrat
3201,Democrat
3202,Republican
3214,Democrat
3223,Democrat
3227,Democrat
3230,Republican
3237,Republican
3245,Republican
3248,Republican
3249,Republican
3253,Democrat
3254,Republican
3267,Democrat
3271,Democrat
3277,Republican
3292,Democrat
3293,Democrat
3298,Republican
3302,Democrat
3304,Democrat
3310,Republican
3311,Republican
3313,Republican
3317,Republican
3322,Republican
3326,Republican
3334,Democrat
3335,Democrat
3343,Democrat
3347,Republican
3353,Democrat
3357,Republican
3359,Democrat
3368,Democrat
3369,Democrat
3372,Republican
3376,Republican
3382,Republican
3392,Democrat
3394,Republican
3395,Republican
3412,Republican
3416,Democrat
3424,Republican
3428,Republican
3446,Democrat
3451,Republican
3454,Republican
3455,Democrat
3465,Republican
3466,Democrat
3480,Republican
3484,Republican
3486,Republican
3490,Democrat
3492,Republican
3496,Democrat
3497,Democrat
3505,Republican
3511,Republican
3513,Republican
3515,Republican
3516,Democrat
3517,Democrat
3519,Republican
3520,Democrat
3521,Republican
3535,Republican
3537,Democrat
3543,Republican
3550,Democrat
3552,Democrat
3554,Democrat
3560,Democrat
3563,Republican
3572,Republican
3574,Democrat
3580,Republican
3583,Republican
3586,Democrat
3588,Republican
3590,Republican
3598,Republican
3607,Democrat
3613,Republican
3623,Republican
3631,Democrat
3639,Democrat
3654,Republican
3656,Democrat
3663,Republican
3673,Republican
3681,Democrat
3683,Democrat
3687,Democrat
3688,Republican
3690,Republican
3691,Democrat
3693,Democrat
3703,Democrat
3710,Democrat
3713,Democrat
3718,Republican
3719,Democrat
3720,Democrat
3727,Republican
3728,Republican
3734,Democrat
3742,Democrat
3749,Republican
3753,Democrat
3760,Democrat
3762,Republican
3768,Democrat
3770,Democrat
3781,Republican
3783,Democrat
3789,Democrat
3790,Democrat
3791,Republican
3800,Republican
3801,Republican
3808,Republican
3810,Republican
3817,Republican
3819,Democrat
3827,Democrat
3829,Republican
3833,Republican
3836,Democrat
3842,Democrat
3843,Democrat
3845,Republican
3848,Republican
3853,Democrat
3856,Republican
3857,Democrat
3870,Democrat
3877,Republican
3886,Republican
3891,Republican
3896,Republican
3899,Republican
3900,Republican
3910,Republican
3911,Republican
3913,Republican
3914,Democrat
3915,Democrat
3923,Democrat
3927,Democrat
3930,Democrat
3932,Democrat
3933,Democrat
3937,Democrat
3938,Republican
3960,Republican
3962,Democrat
3964,Democrat
3968,Democrat
3971,Democrat
3975,Republican
4013,Republican
4015,Republican
4034,Republican
4040,Democrat
4057,Democrat
4058,Republican
4060,Republican
4062,Democrat
4064,Democrat
4065,Republican
4069,Republican
4077,Democrat
4079,Republican
4085,Republican
4086,Republican
4094,Republican
4095,Democrat
4096,Democrat
4100,Democrat
4107,Republican
4116,Republican
4118,Republican
4120,Republican
4123,Democrat
4125,Republican
4130,Democrat
4136,Republican
4137,Republican
4145,Republican
4164,Democrat
4173,Republican
4175,Democrat
4184,Republican
4189,Republican
4202,Democrat
4204,Democrat
4205,Democrat
4207,Democrat
4209,Democrat
4216,Republican
4219,Republican
4226,Republican
4230,Republican
4231,Republican
4235,Republican
4243,Republican
4246,Democrat
4249,Republican
4255,Republican
4261,Republican
4262,Republican
4274,Democrat
4275,Democrat
4277,Republican
4279,Democrat
4288,Democrat
4293,Republican
4302,Republican
4307,Democrat
4309,Democrat
4316,Republican
4317,Republican
4326,Republican
4329,Republican
4331,Democrat
4332,Democrat
4338,Republican
4346,Democrat
4351,Democrat
4359,Republican
4362,Democrat
4366,Republican
4368,Democrat
4375,Democrat
4377,Democrat
4387,Democrat
4388,Republican
4395,Republican
4398,Democrat
4401,Republican
4405,Democrat
4410,Republican
4413,Republican
4417,Democrat
4425,Democrat
4428,Democrat
4435,Democrat
4436,Republican
4441,Republican
4444,Democrat
4454,Democrat
4463,Democrat
4471,Democrat
4475,Democrat
4481,Republican
4486,Democrat
4490,Democrat
4493,Democrat
4494,Democrat
4500,Democrat
4503,Republican
4518,Republican
4522,Republican
4527,Democrat
4532,Republican
4535,Republican
4541,Democrat
4549,Democrat
4551,Democrat
4557,Democrat
4559,Democrat
4562,Republican
4564,Republican
4566,Republican
4567,Republican
4568,Democrat
4577,Democrat
4580,Republican
4586,Democrat
4587,Democrat
4596,Democrat
4597,Democrat
4611,Democrat
4625,Republican
4629,Republican
4634,Democrat
4640,Republican
4644,Republican
4646,Democrat
4651,Republican
4655,Republican
4657,Republican
4663,Democrat
4666,Democrat
4669,Democrat
4672,Republican
4676,Republican
4681,Republican
4683,Republican
4720,Democrat
4724,Democrat
4725,Democrat
4729,Democrat
4738,Republican
4739,Republican
4740,Democrat
4743,Republican
4745,Republican
4746,Republican
4751,Republican
4763,Republican
4766,Republican
4770,Democrat
4771,Republican
4778,Democrat
4786,Republican
4788,Republican
4793,Democrat
4810,Democrat
4811,Democrat
4814,Republican
4820,Republican
4821,Republican
4823,Republican
4829,Republican
4830,Democrat
4834,Democrat
4854,Republican
4860,Republican
4868,Democrat
4873,Republican
4875,Democrat
4877,Republican
4879,Democrat
4882,Democrat
4888,Republican
4891,Democrat
4893,Democrat
4899,Republican
4902,Republican
4905,Democrat
4906,Democrat
4917,Democrat
4920,Democrat
4923,Democrat
4935,Democrat
4938,Republican
4939,Republican
4950,Democrat
4960,Democrat
4961,Democrat
4963,Democrat
4967,Republican
4971,Republican
4980,Democrat
4991,Democrat
4993,Republican
4995,Republican
5000,Republican
5002,Republican
5003,Democrat
5008,Republican
5011,Republican
5021,Republican
5023,Republican
5030,Republican
5031,Republican
5038,Republican
5047,Democrat
5052,Republican
5058,Democrat
5059,Democrat
5060,Democrat
5062,Democrat
5067,Democrat
5072,Democrat
5079,Democrat
5080,Democrat
5081,Democrat
5084,Democrat
5087,Republican
5093,Democrat
5097,Democrat
5098,Democrat
5104,Republican
5109,Republican
5122,Republican
5130,Democrat
5131,Democrat
5134,Republican
5143,Democrat
5155,Republican
5156,Republican
5157,Republican
5169,Democrat
5175,Republican
5176,Republican
5177,Democrat
5179,Republican
5181,Republican
5183,Democrat
5191,Democrat
5200,Democrat
5204,Democrat
5209,Democrat
5215,Democrat
5217,Democrat
5225,Republican
5227,Democrat
5246,Democrat
5254,Democrat
5255,Republican
5256,Republican
5262,Democrat
5263,Republican
5266,Republican
5269,Republican
5270,Democrat
5276,Democrat
5301,Democrat
5306,Republican
5312,Republican
5313,Democrat
5322,Republican
5331,Democrat
5332,Democrat
5333,Republican
5335,Democrat
5339,Republican
5342,Democrat
5343,Republican
5347,Democrat
5349,Republican
5352,Republican
5353,Republican
5355,Democrat
5360,Republican
5368,Democrat
5369,Democrat
5372,Democrat
5375,Republican
5380,Republican
5386,Democrat
5389,Republican
5391,Republican
5392,Democrat
5405,Democrat
5412,Democrat
5422,Democrat
5424,Republican
5427,Democrat
5430,Republican
5434,Democrat
5438,Democrat
5439,Democrat
5442,Democrat
5447,Republican
5454,Democrat
5473,Republican
5475,Republican
5479,Republican
5481,Democrat
5488,Republican
5514,Democrat
5515,Republican
5518,Republican
5532,Republican
5533,Republican
5534,Democrat
5542,Republican
5547,Republican
5550,Democrat
5558,Republican
5559,Republican
5560,Republican
5571,Democrat
5573,Republican
5574,Republican
5576,Democrat
5577,Republican
5581,Democrat
5585,Republican
5589,Republican
5592,Republican
5599,Democrat
5607,Democrat
5608,Republican
5617,Democrat
5622,Democrat
5625,Republican
5626,Republican
5636,Democrat
5643,Democrat
5645,Democrat
5648,Republican
5649,Republican
5661,Democrat
5662,Republican
5674,Republican
5679,Democrat
5687,Republican
5689,Republican
5690,Republican
5699,Republican
5707,Republican
5712,Republican
5713,Republican
5717,Democrat
5725,Republican
5731,Democrat
5732,Republican
5743,Democrat
5745,Republican
5747,Republican
5748,Democrat
5750,Republican
5751,Democrat
5768,Democrat
5773,Democrat
5779,Republican
5781,Democrat
5790,Democrat
5791,Republican
5798,Democrat
5803,Republican
5806,Republican
5807,Republican
5808,Democrat
5810,Democrat
5824,Democrat
5834,Republican
5843,Republican
5844,Democrat
5847,Democrat
5852,Democrat
5861,Republican
5866,Republican
5868,Republican
5877,Democrat
5880,Democrat
5883,Republican
5884,Democrat
5903,Democrat
5911,Republican
5912,Republican
5917,Democrat
5924,Republican
5933,Republican
5934,Republican
5941,Democrat
5948,Republican
5955,Democrat
5958,Democrat
5960,Democrat
5963,Republican
5965,Republican
5970,Republican
5972,Republican
5974,Republican
5976,Democrat
5980,Democrat
5983,Democrat
5986,Republican
5990,Democrat
6000,Democrat
6006,Republican
6016,Republican
6018,Democrat
6020,Republican
6023,Democrat
6024,Republican
6026,Republican
6028,Republican
6033,Democrat
6035,Republican
6041,Republican
6054,Republican
6057,Democrat
6059,Democrat
6060,Republican
6064,Republican
6067,Republican
6071,Republican
6074,Democrat
6075,Republican
6077,Republican
6087,Republican
6094,Republican
6104,Republican
6106,Democrat
6113,Republican
6115,Democrat
6116,Democrat
6120,Democrat
6127,Republican
6143,Democrat
6150,Republican
6155,Democrat
6163,Republican
6167,Republican
6169,Republican
6173,Republican
6174,Republican
6185,Republican
6188,Republican
6191,Republican
6192,Democrat
6195,Republican
6201,Republican
6208,Democrat
6213,Republican
6215,Democrat
6222,Democrat
6228,Republican
6231,Republican
6233,Republican
6235,Republican
6244,Democrat
6251,Republican
6259,Democrat
6262,Republican
6263,Republican
6268,Democrat
6272,Democrat
6278,Democrat
6285,Democrat
6287,Republican
6291,Republican
6300,Republican
6302,Republican
6305,Democrat
6316,Democrat
6337,Republican
6344,Democrat
6346,Democrat
6348,Democrat
6356,Democrat
6360,Democrat
6369,Democrat
6375,Republican
6383,Republican
6389,Democrat
6393,Republican
6396,Democrat
6404,Republican
6408,Democrat
6410,Republican
6416,Democrat
6425,Republican
6428,Republican
6431,Republican
6436,Republican
6439,Republican
6442,Democrat
6447,Democrat
6449,Democrat
6457,Democrat
6468,Republican
6470,Republican
6474,Democrat
6480,Republican
6482,Republican
6487,Republican
6489,Republican
6490,Republican
6521,Republican
6529,Democrat
6534,Republican
6540,Republican
6550,Democrat
6553,Republican
6554,Democrat
6559,Republican
6565,Democrat
6576,Republican
6577,Republican
6578,Democrat
6582,Democrat
6583,Democrat
6585,Democrat
6586,Republican
6589,Democrat
6595,Democrat
6602,Democrat
6606,Republican
6609,Republican
6618,Republican
6623,Republican
6631,Republican
6633,Democrat
6634,Republican
6639,Republican
6640,Republican
6645,Democrat
6648,Democrat
6652,Republican
6655,Republican
6662,Democrat
6666,Republican
6667,Democrat
6671,Republican
6677,Democrat
6680,Democrat
6682,Democrat
6686,Democrat
6687,Democrat
6692,Republican
6695,Republican
6700,Republican
6701,Democrat
6705,Democrat
6709,Democrat
6723,Republican
6724,Democrat
6728,Democrat
6732,Democrat
6757,Democrat
6760,Democrat
6778,Republican
6781,Democrat
6785,Republican
6790,Republican
6791,Democrat
6795,Republican
6796,Republican
6799,Republican
6807,Republican
6811,Republican
6813,Republican
6814,Republican
6816,Democrat
6817,Democrat
6825,Democrat
6830,Democrat
6837,Democrat
6843,Democrat
6844,Republican
6845,Democrat
6848,Republican
6852,Republican
6859,Republican
6860,Democrat
6864,Republican
6865,Democrat
6867,Republican
6870,Republican
6871,Democrat
6876,Democrat
6879,Republican
6887,Republican
6892,Democrat
6895,Republican
6898,Republican
6904,Democrat
6914,Republican
6919,Democrat
6921,Republican
6922,Republican
6928,Democrat
6930,Democrat
6941,Republican
6946,Republican
6947,Republican
